[1455042600] LOG ROTATION: DAILY
[1455042600] LOG VERSION: 2.0
[1455042600] CURRENT HOST STATE: Nagios Server;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.04 ms
[1455042600] CURRENT HOST STATE: credr_DW_52.76.17.124;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.42 ms
[1455042600] CURRENT HOST STATE: credr_db_prod_master_52.76.120.118;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.71 ms
[1455042600] CURRENT HOST STATE: credr_db_prod_middle_52.76.193.246;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.60 ms
[1455042600] CURRENT HOST STATE: credr_db_prod_slave_52.76.187.176;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.63 ms
[1455042600] CURRENT HOST STATE: credr_dev_52.74.244.220;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.63 ms
[1455042600] CURRENT HOST STATE: credr_prod_52.74.247.15;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.54 ms
[1455042600] CURRENT HOST STATE: credr_prodsolr_52.74.114.132;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.33 ms
[1455042600] CURRENT HOST STATE: credr_stage_52.76.16.57;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 2.12 ms
[1455063029] wproc:   stderr line 02: Usage: mail -eiIUdEFntBDNHRV~ -T FILE -u USER -h hops -r address -s SUBJECT -a FILE -q FILE -f FILE -A ACCOUNT -b USERS -c USERS -S OPTION users
[1455066038] Auto-save of retention data completed successfully.
[1455069638] Auto-save of retention data completed successfully.
[1455073239] Auto-save of retention data completed successfully.
[1455075641] SERVICE ALERT: credr_DW_52.76.17.124;CPU Usage;WARNING;SOFT;1;CPU STATISTICS WARNING : user=45.23% system=5.03%, iowait=0.00%, idle=49.75%, nice=0.00%, steal=0.00%
[1455075701] SERVICE ALERT: credr_DW_52.76.17.124;CPU Usage;OK;SOFT;2;CPU STATISTICS OK : user=25.63% system=5.53%, iowait=0.00%, idle=68.84%, nice=0.00%, steal=0.00%
[1455076421] SERVICE ALERT: credr_DW_52.76.17.124;CPU Usage;WARNING;SOFT;1;CPU STATISTICS WARNING : user=47.76% system=1.99%, iowait=0.00%, idle=49.75%, nice=0.00%, steal=0.50%
[1455076481] SERVICE ALERT: credr_DW_52.76.17.124;CPU Usage;WARNING;SOFT;2;CPU STATISTICS WARNING : user=45.50% system=4.50%, iowait=0.00%, idle=50.00%, nice=0.00%, steal=0.00%
[1455076541] SERVICE ALERT: credr_DW_52.76.17.124;CPU Usage;WARNING;HARD;3;CPU STATISTICS WARNING : user=45.23% system=4.52%, iowait=0.00%, idle=50.25%, nice=0.00%, steal=0.00%
[1455076541] SERVICE NOTIFICATION: nagiosadmin;credr_DW_52.76.17.124;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=45.23% system=4.52%, iowait=0.00%, idle=50.25%, nice=0.00%, steal=0.00%
[1455076541] SERVICE NOTIFICATION: mohit;credr_DW_52.76.17.124;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=45.23% system=4.52%, iowait=0.00%, idle=50.25%, nice=0.00%, steal=0.00%
[1455076541] SERVICE NOTIFICATION: nitin;credr_DW_52.76.17.124;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=45.23% system=4.52%, iowait=0.00%, idle=50.25%, nice=0.00%, steal=0.00%
[1455076541] SERVICE NOTIFICATION: suneet;credr_DW_52.76.17.124;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=45.23% system=4.52%, iowait=0.00%, idle=50.25%, nice=0.00%, steal=0.00%
[1455076541] SERVICE NOTIFICATION: sudheer;credr_DW_52.76.17.124;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=45.23% system=4.52%, iowait=0.00%, idle=50.25%, nice=0.00%, steal=0.00%
[1455076541] SERVICE NOTIFICATION: nagiosdb;credr_DW_52.76.17.124;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=45.23% system=4.52%, iowait=0.00%, idle=50.25%, nice=0.00%, steal=0.00%
[1455076541] wproc: NOTIFY job 8137 from worker Core Worker 13160 is a non-check helper but exited with return code 2
[1455076541] wproc:   host=credr_DW_52.76.17.124; service=CPU Usage; contact=nagiosdb
[1455076541] wproc:   early_timeout=0; exited_ok=1; wait_status=512; error_code=0;
[1455076541] wproc:   stderr line 01: Send options without primary recipient specified.
[1455076541] wproc:   stderr line 02: Usage: mail -eiIUdEFntBDNHRV~ -T FILE -u USER -h hops -r address -s SUBJECT -a FILE -q FILE -f FILE -A ACCOUNT -b USERS -c USERS -S OPTION users
[1455076721] SERVICE ALERT: credr_DW_52.76.17.124;CPU Usage;OK;HARD;3;CPU STATISTICS OK : user=28.71% system=2.48%, iowait=0.00%, idle=68.81%, nice=0.00%, steal=0.00%
[1455076721] SERVICE NOTIFICATION: nagiosadmin;credr_DW_52.76.17.124;CPU Usage;OK;notify-service-by-email;CPU STATISTICS OK : user=28.71% system=2.48%, iowait=0.00%, idle=68.81%, nice=0.00%, steal=0.00%
[1455076721] SERVICE NOTIFICATION: mohit;credr_DW_52.76.17.124;CPU Usage;OK;notify-service-by-email;CPU STATISTICS OK : user=28.71% system=2.48%, iowait=0.00%, idle=68.81%, nice=0.00%, steal=0.00%
[1455076721] SERVICE NOTIFICATION: nitin;credr_DW_52.76.17.124;CPU Usage;OK;notify-service-by-email;CPU STATISTICS OK : user=28.71% system=2.48%, iowait=0.00%, idle=68.81%, nice=0.00%, steal=0.00%
[1455076721] SERVICE NOTIFICATION: suneet;credr_DW_52.76.17.124;CPU Usage;OK;notify-service-by-email;CPU STATISTICS OK : user=28.71% system=2.48%, iowait=0.00%, idle=68.81%, nice=0.00%, steal=0.00%
[1455076721] SERVICE NOTIFICATION: sudheer;credr_DW_52.76.17.124;CPU Usage;OK;notify-service-by-email;CPU STATISTICS OK : user=28.71% system=2.48%, iowait=0.00%, idle=68.81%, nice=0.00%, steal=0.00%
[1455076721] SERVICE NOTIFICATION: nagiosdb;credr_DW_52.76.17.124;CPU Usage;OK;notify-service-by-email;CPU STATISTICS OK : user=28.71% system=2.48%, iowait=0.00%, idle=68.81%, nice=0.00%, steal=0.00%
[1455076721] wproc: NOTIFY job 8168 from worker Core Worker 13162 is a non-check helper but exited with return code 2
[1455076721] wproc:   host=credr_DW_52.76.17.124; service=CPU Usage; contact=nagiosdb
[1455076721] wproc:   early_timeout=0; exited_ok=1; wait_status=512; error_code=0;
[1455076721] wproc:   stderr line 01: Send options without primary recipient specified.
[1455076721] wproc:   stderr line 02: Usage: mail -eiIUdEFntBDNHRV~ -T FILE -u USER -h hops -r address -s SUBJECT -a FILE -q FILE -f FILE -A ACCOUNT -b USERS -c USERS -S OPTION users
[1455076838] Auto-save of retention data completed successfully.
[1455077081] SERVICE ALERT: credr_DW_52.76.17.124;CPU Usage;WARNING;SOFT;1;CPU STATISTICS WARNING : user=45.50% system=5.00%, iowait=0.00%, idle=49.50%, nice=0.00%, steal=0.00%
[1455077141] SERVICE ALERT: credr_DW_52.76.17.124;CPU Usage;OK;SOFT;2;CPU STATISTICS OK : user=4.50% system=0.00%, iowait=0.00%, idle=95.00%, nice=0.00%, steal=0.50%
[1455080438] Auto-save of retention data completed successfully.
[1455084038] Auto-save of retention data completed successfully.
[1455087638] Auto-save of retention data completed successfully.
[1455091239] Auto-save of retention data completed successfully.
[1455094839] Auto-save of retention data completed successfully.
[1455097645] Warning: Return code of 255 for check of service 'Current Load' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097645] SERVICE ALERT: credr_stage_52.76.16.57;Current Load;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097659] Warning: Return code of 255 for check of service 'Celery Process credrWebApp' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097659] SERVICE ALERT: credr_stage_52.76.16.57;Celery Process credrWebApp;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097662] Warning: Return code of 255 for check of service 'Celery Memory Usage' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097662] SERVICE ALERT: credr_stage_52.76.16.57;Celery Memory Usage;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097664] SERVICE ALERT: credr_stage_52.76.16.57;Nginx http;CRITICAL;SOFT;1;connect to address 52.76.16.57 and port 80: Connection refused
[1455097674] Warning: Return code of 255 for check of service 'Redis Service' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097674] SERVICE ALERT: credr_stage_52.76.16.57;Redis Service;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097678] Warning: Return code of 255 for check of service 'Memory' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097678] SERVICE ALERT: credr_stage_52.76.16.57;Memory;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097689] Warning: Return code of 255 for check of service 'Ping Check' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097689] SERVICE ALERT: credr_stage_52.76.16.57;Ping Check;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097694] Warning: Return code of 255 for check of service 'Celery Process crmserv' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097694] SERVICE ALERT: credr_stage_52.76.16.57;Celery Process crmserv;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097695] Warning: Return code of 255 for check of service 'Celery Memory credr-core' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097695] SERVICE ALERT: credr_stage_52.76.16.57;Celery Memory credr-core;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097705] Warning: Return code of 255 for check of service 'Current Load' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097705] SERVICE ALERT: credr_stage_52.76.16.57;Current Load;CRITICAL;SOFT;2;(Return code of 255 is out of bounds)
[1455097710] Warning: Return code of 255 for check of service 'Celery Process Total' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097710] SERVICE ALERT: credr_stage_52.76.16.57;Celery Process Total;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097713] Warning: Return code of 255 for check of service 'Root Partition' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097713] SERVICE ALERT: credr_stage_52.76.16.57;Root Partition;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097719] Warning: Return code of 255 for check of service 'Celery Memory emailserv' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097719] SERVICE ALERT: credr_stage_52.76.16.57;Celery Memory emailserv;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097719] Warning: Return code of 255 for check of service 'CPU Usage' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097719] SERVICE ALERT: credr_stage_52.76.16.57;CPU Usage;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097719] Warning: Return code of 255 for check of service 'Celery Process credrWebApp' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097719] SERVICE ALERT: credr_stage_52.76.16.57;Celery Process credrWebApp;CRITICAL;SOFT;2;(Return code of 255 is out of bounds)
[1455097719] Warning: Return code of 255 for check of service 'Celery Process credr-core' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097719] SERVICE ALERT: credr_stage_52.76.16.57;Celery Process credr-core;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097722] Warning: Return code of 255 for check of service 'Celery Memory Usage' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097722] SERVICE ALERT: credr_stage_52.76.16.57;Celery Memory Usage;CRITICAL;SOFT;2;(Return code of 255 is out of bounds)
[1455097724] SERVICE ALERT: credr_stage_52.76.16.57;SSH;CRITICAL;SOFT;1;connect to address 52.76.16.57 and port 22: Connection refused
[1455097724] SERVICE ALERT: credr_stage_52.76.16.57;Nginx http;CRITICAL;SOFT;2;connect to address 52.76.16.57 and port 80: Connection refused
[1455097725] Warning: Return code of 255 for check of service 'Redis Memory Usage' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097725] SERVICE ALERT: credr_stage_52.76.16.57;Redis Memory Usage;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097734] Warning: Return code of 255 for check of service 'Redis Service' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097734] SERVICE ALERT: credr_stage_52.76.16.57;Redis Service;CRITICAL;SOFT;2;(Return code of 255 is out of bounds)
[1455097738] Warning: Return code of 255 for check of service 'Memory' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097738] SERVICE ALERT: credr_stage_52.76.16.57;Memory;CRITICAL;SOFT;2;(Return code of 255 is out of bounds)
[1455097749] Warning: Return code of 255 for check of service 'Ping Check' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097749] SERVICE ALERT: credr_stage_52.76.16.57;Ping Check;CRITICAL;SOFT;2;(Return code of 255 is out of bounds)
[1455097752] Warning: Return code of 255 for check of service 'Celery Memory credrWebApp' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097752] SERVICE ALERT: credr_stage_52.76.16.57;Celery Memory credrWebApp;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097754] Warning: Return code of 255 for check of service 'Celery Process crmserv' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097754] SERVICE ALERT: credr_stage_52.76.16.57;Celery Process crmserv;CRITICAL;SOFT;2;(Return code of 255 is out of bounds)
[1455097755] Warning: Return code of 255 for check of service 'Celery Memory credr-core' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097755] SERVICE ALERT: credr_stage_52.76.16.57;Celery Memory credr-core;CRITICAL;SOFT;2;(Return code of 255 is out of bounds)
[1455097765] Warning: Return code of 255 for check of service 'Current Load' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097765] SERVICE ALERT: credr_stage_52.76.16.57;Current Load;CRITICAL;HARD;3;(Return code of 255 is out of bounds)
[1455097765] SERVICE NOTIFICATION: vivek;credr_stage_52.76.16.57;Current Load;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097765] SERVICE NOTIFICATION: nagiosadmin;credr_stage_52.76.16.57;Current Load;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097765] SERVICE NOTIFICATION: mohit;credr_stage_52.76.16.57;Current Load;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097765] SERVICE NOTIFICATION: nagiosinfra;credr_stage_52.76.16.57;Current Load;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097765] wproc: NOTIFY job 11589 from worker Core Worker 13161 is a non-check helper but exited with return code 2
[1455097765] wproc:   host=credr_stage_52.76.16.57; service=Current Load; contact=nagiosinfra
[1455097765] wproc:   early_timeout=0; exited_ok=1; wait_status=512; error_code=0;
[1455097765] wproc:   stderr line 01: Send options without primary recipient specified.
[1455097765] wproc:   stderr line 02: Usage: mail -eiIUdEFntBDNHRV~ -T FILE -u USER -h hops -r address -s SUBJECT -a FILE -q FILE -f FILE -A ACCOUNT -b USERS -c USERS -S OPTION users
[1455097769] Warning: Return code of 255 for check of service 'Current Users' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097769] SERVICE ALERT: credr_stage_52.76.16.57;Current Users;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097770] Warning: Return code of 255 for check of service 'Celery Process Total' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097770] SERVICE ALERT: credr_stage_52.76.16.57;Celery Process Total;CRITICAL;SOFT;2;(Return code of 255 is out of bounds)
[1455097772] Warning: Return code of 255 for check of service 'Celery Memory crmserv' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097772] SERVICE ALERT: credr_stage_52.76.16.57;Celery Memory crmserv;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097772] Warning: Return code of 255 for check of service 'Root Partition' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097772] SERVICE ALERT: credr_stage_52.76.16.57;Root Partition;CRITICAL;SOFT;2;(Return code of 255 is out of bounds)
[1455097776] Warning: Return code of 255 for check of service 'Celery Memory smsserv' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097776] SERVICE ALERT: credr_stage_52.76.16.57;Celery Memory smsserv;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097779] Warning: Return code of 255 for check of service 'Celery Memory emailserv' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097779] SERVICE ALERT: credr_stage_52.76.16.57;Celery Memory emailserv;CRITICAL;SOFT;2;(Return code of 255 is out of bounds)
[1455097779] Warning: Return code of 255 for check of service 'CPU Usage' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097779] SERVICE ALERT: credr_stage_52.76.16.57;CPU Usage;CRITICAL;SOFT;2;(Return code of 255 is out of bounds)
[1455097779] Warning: Return code of 255 for check of service 'Celery Process credrWebApp' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097779] SERVICE ALERT: credr_stage_52.76.16.57;Celery Process credrWebApp;CRITICAL;HARD;3;(Return code of 255 is out of bounds)
[1455097779] SERVICE NOTIFICATION: vivek;credr_stage_52.76.16.57;Celery Process credrWebApp;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097779] SERVICE NOTIFICATION: nagiosadmin;credr_stage_52.76.16.57;Celery Process credrWebApp;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097779] SERVICE NOTIFICATION: mohit;credr_stage_52.76.16.57;Celery Process credrWebApp;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097779] SERVICE NOTIFICATION: nagiosinfra;credr_stage_52.76.16.57;Celery Process credrWebApp;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097779] wproc: NOTIFY job 11592 from worker Core Worker 13160 is a non-check helper but exited with return code 2
[1455097779] wproc:   host=credr_stage_52.76.16.57; service=Celery Process credrWebApp; contact=nagiosinfra
[1455097779] wproc:   early_timeout=0; exited_ok=1; wait_status=512; error_code=0;
[1455097779] wproc:   stderr line 01: Send options without primary recipient specified.
[1455097779] wproc:   stderr line 02: Usage: mail -eiIUdEFntBDNHRV~ -T FILE -u USER -h hops -r address -s SUBJECT -a FILE -q FILE -f FILE -A ACCOUNT -b USERS -c USERS -S OPTION users
[1455097779] Warning: Return code of 255 for check of service 'Celery Process credr-core' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097779] SERVICE ALERT: credr_stage_52.76.16.57;Celery Process credr-core;CRITICAL;SOFT;2;(Return code of 255 is out of bounds)
[1455097781] Warning: Return code of 255 for check of service 'Celery Process emailserv' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097781] SERVICE ALERT: credr_stage_52.76.16.57;Celery Process emailserv;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097782] Warning: Return code of 255 for check of service 'Celery Memory Usage' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097782] SERVICE ALERT: credr_stage_52.76.16.57;Celery Memory Usage;CRITICAL;HARD;3;(Return code of 255 is out of bounds)
[1455097782] SERVICE NOTIFICATION: vivek;credr_stage_52.76.16.57;Celery Memory Usage;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097782] SERVICE NOTIFICATION: nagiosadmin;credr_stage_52.76.16.57;Celery Memory Usage;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097782] SERVICE NOTIFICATION: mohit;credr_stage_52.76.16.57;Celery Memory Usage;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097782] SERVICE NOTIFICATION: nagiosinfra;credr_stage_52.76.16.57;Celery Memory Usage;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097782] wproc: NOTIFY job 11594 from worker Core Worker 13159 is a non-check helper but exited with return code 2
[1455097782] wproc:   host=credr_stage_52.76.16.57; service=Celery Memory Usage; contact=nagiosinfra
[1455097782] wproc:   early_timeout=0; exited_ok=1; wait_status=512; error_code=0;
[1455097782] wproc:   stderr line 01: Send options without primary recipient specified.
[1455097782] wproc:   stderr line 02: Usage: mail -eiIUdEFntBDNHRV~ -T FILE -u USER -h hops -r address -s SUBJECT -a FILE -q FILE -f FILE -A ACCOUNT -b USERS -c USERS -S OPTION users
[1455097784] SERVICE ALERT: credr_stage_52.76.16.57;SSH;CRITICAL;SOFT;2;connect to address 52.76.16.57 and port 22: Connection refused
[1455097784] SERVICE ALERT: credr_stage_52.76.16.57;Nginx http;CRITICAL;HARD;3;connect to address 52.76.16.57 and port 80: Connection refused
[1455097784] SERVICE NOTIFICATION: vivek;credr_stage_52.76.16.57;Nginx http;CRITICAL;notify-service-by-email;connect to address 52.76.16.57 and port 80: Connection refused
[1455097784] SERVICE NOTIFICATION: nagiosadmin;credr_stage_52.76.16.57;Nginx http;CRITICAL;notify-service-by-email;connect to address 52.76.16.57 and port 80: Connection refused
[1455097784] SERVICE NOTIFICATION: mohit;credr_stage_52.76.16.57;Nginx http;CRITICAL;notify-service-by-email;connect to address 52.76.16.57 and port 80: Connection refused
[1455097784] SERVICE NOTIFICATION: nagiosinfra;credr_stage_52.76.16.57;Nginx http;CRITICAL;notify-service-by-email;connect to address 52.76.16.57 and port 80: Connection refused
[1455097784] wproc: NOTIFY job 11596 from worker Core Worker 13159 is a non-check helper but exited with return code 2
[1455097784] wproc:   host=credr_stage_52.76.16.57; service=Nginx http; contact=nagiosinfra
[1455097784] wproc:   early_timeout=0; exited_ok=1; wait_status=512; error_code=0;
[1455097784] wproc:   stderr line 01: Send options without primary recipient specified.
[1455097784] wproc:   stderr line 02: Usage: mail -eiIUdEFntBDNHRV~ -T FILE -u USER -h hops -r address -s SUBJECT -a FILE -q FILE -f FILE -A ACCOUNT -b USERS -c USERS -S OPTION users
[1455097784] wproc:   stderr line 03: /usr/bin/printf: write error: Broken pipe
[1455097785] Warning: Return code of 255 for check of service 'Redis Memory Usage' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097785] SERVICE ALERT: credr_stage_52.76.16.57;Redis Memory Usage;CRITICAL;SOFT;2;(Return code of 255 is out of bounds)
[1455097793] Warning: Return code of 255 for check of service 'Redis Service' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097793] SERVICE ALERT: credr_stage_52.76.16.57;Redis Service;CRITICAL;HARD;3;(Return code of 255 is out of bounds)
[1455097793] SERVICE NOTIFICATION: vivek;credr_stage_52.76.16.57;Redis Service;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097793] SERVICE NOTIFICATION: nagiosadmin;credr_stage_52.76.16.57;Redis Service;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097793] SERVICE NOTIFICATION: mohit;credr_stage_52.76.16.57;Redis Service;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097793] SERVICE NOTIFICATION: nagiosinfra;credr_stage_52.76.16.57;Redis Service;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097794] wproc: NOTIFY job 11600 from worker Core Worker 13162 is a non-check helper but exited with return code 2
[1455097794] wproc:   host=credr_stage_52.76.16.57; service=Redis Service; contact=nagiosinfra
[1455097794] wproc:   early_timeout=0; exited_ok=1; wait_status=512; error_code=0;
[1455097794] wproc:   stderr line 01: Send options without primary recipient specified.
[1455097794] wproc:   stderr line 02: Usage: mail -eiIUdEFntBDNHRV~ -T FILE -u USER -h hops -r address -s SUBJECT -a FILE -q FILE -f FILE -A ACCOUNT -b USERS -c USERS -S OPTION users
[1455097794] Warning: Return code of 255 for check of service 'Total Processes' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097794] SERVICE ALERT: credr_stage_52.76.16.57;Total Processes;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097798] Warning: Return code of 255 for check of service 'Memory' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097798] SERVICE ALERT: credr_stage_52.76.16.57;Memory;CRITICAL;HARD;3;(Return code of 255 is out of bounds)
[1455097798] SERVICE NOTIFICATION: vivek;credr_stage_52.76.16.57;Memory;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097798] SERVICE NOTIFICATION: nagiosadmin;credr_stage_52.76.16.57;Memory;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097798] SERVICE NOTIFICATION: mohit;credr_stage_52.76.16.57;Memory;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097798] SERVICE NOTIFICATION: nagiosinfra;credr_stage_52.76.16.57;Memory;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097798] wproc: NOTIFY job 11601 from worker Core Worker 13160 is a non-check helper but exited with return code 2
[1455097798] wproc:   host=credr_stage_52.76.16.57; service=Memory; contact=nagiosinfra
[1455097798] wproc:   early_timeout=0; exited_ok=1; wait_status=512; error_code=0;
[1455097798] wproc:   stderr line 01: Send options without primary recipient specified.
[1455097798] wproc:   stderr line 02: Usage: mail -eiIUdEFntBDNHRV~ -T FILE -u USER -h hops -r address -s SUBJECT -a FILE -q FILE -f FILE -A ACCOUNT -b USERS -c USERS -S OPTION users
[1455097798] wproc:   stderr line 03: /usr/bin/printf: write error: Broken pipe
[1455097809] Warning: Return code of 255 for check of service 'Zombie Process' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097809] SERVICE ALERT: credr_stage_52.76.16.57;Zombie Process;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097809] Warning: Return code of 255 for check of service 'Celery Process smsserv' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097809] SERVICE ALERT: credr_stage_52.76.16.57;Celery Process smsserv;CRITICAL;SOFT;1;(Return code of 255 is out of bounds)
[1455097809] Warning: Return code of 255 for check of service 'Ping Check' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097809] SERVICE ALERT: credr_stage_52.76.16.57;Ping Check;CRITICAL;HARD;3;(Return code of 255 is out of bounds)
[1455097809] SERVICE NOTIFICATION: vivek;credr_stage_52.76.16.57;Ping Check;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097809] SERVICE NOTIFICATION: nagiosadmin;credr_stage_52.76.16.57;Ping Check;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097809] SERVICE NOTIFICATION: mohit;credr_stage_52.76.16.57;Ping Check;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097809] SERVICE NOTIFICATION: nagiosinfra;credr_stage_52.76.16.57;Ping Check;CRITICAL;notify-service-by-email;(Return code of 255 is out of bounds)
[1455097809] wproc: NOTIFY job 11604 from worker Core Worker 13162 is a non-check helper but exited with return code 2
[1455097809] wproc:   host=credr_stage_52.76.16.57; service=Ping Check; contact=nagiosinfra
[1455097809] wproc:   early_timeout=0; exited_ok=1; wait_status=512; error_code=0;
[1455097809] wproc:   stderr line 01: Send options without primary recipient specified.
[1455097809] wproc:   stderr line 02: Usage: mail -eiIUdEFntBDNHRV~ -T FILE -u USER -h hops -r address -s SUBJECT -a FILE -q FILE -f FILE -A ACCOUNT -b USERS -c USERS -S OPTION users
[1455097812] Warning: Return code of 255 for check of service 'Celery Memory credrWebApp' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097812] SERVICE ALERT: credr_stage_52.76.16.57;Celery Memory credrWebApp;CRITICAL;SOFT;2;(Return code of 255 is out of bounds)
[1455097814] Warning: Return code of 255 for check of service 'Celery Process crmserv' on host 'credr_stage_52.76.16.57' was out of bounds.
[1455097814] SERVICE ALERT: credr_stage_52.76.16.57;Celery Process crmserv;CRITICAL;HARD;3;(Return code of 255 is out of bounds)
