[1453919400] LOG ROTATION: DAILY
[1453919400] LOG VERSION: 2.0
[1453919400] CURRENT HOST STATE: Nagios Server;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.04 ms
[1453919400] CURRENT HOST STATE: credr_DW_52.76.17.124;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.47 ms
[1453919400] CURRENT HOST STATE: credr_db_prod_master_52.76.120.118;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.63 ms
[1453919400] CURRENT HOST STATE: credr_db_prod_middle_52.76.193.246;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.60 ms
[1453919400] CURRENT HOST STATE: credr_db_prod_slave_52.76.187.176;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.82 ms
[1453919400] CURRENT HOST STATE: credr_dev_52.74.244.220;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.64 ms
[1453919400] CURRENT HOST STATE: credr_prod_52.74.247.15;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.54 ms
[1453919400] CURRENT HOST STATE: credr_prodsolr_52.74.114.132;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.40 ms
[1453956394] SERVICE ALERT: credr_prod_52.74.247.15;Website Check;UNKNOWN;SOFT;1;ERROR: CANNOT RETRIEVE URL: 500 Server closed connection without sending any data back
[1453956394] SERVICE ALERT: credr_prod_52.74.247.15;Website Check;UNKNOWN;SOFT;2;ERROR: CANNOT RETRIEVE URL: 502 Bad Gateway
[1453956454] SERVICE ALERT: credr_prod_52.74.247.15;Website Check;OK;SOFT;3;CONTENT OK: WEBSITE IS RUNNING FINE
[1453958374] Auto-save of retention data completed successfully.
[1453961974] Auto-save of retention data completed successfully.
[1453965276] SERVICE ALERT: credr_db_prod_master_52.76.120.118;CPU Usage;WARNING;SOFT;1;CPU STATISTICS WARNING : user=55.96% system=3.11%, iowait=0.00%, idle=40.41%, nice=0.00%, steal=0.52%
[1453965306] SERVICE ALERT: credr_prod_52.74.247.15;CPU Usage;WARNING;SOFT;1;CPU STATISTICS WARNING : user=40.36% system=1.54%, iowait=0.00%, idle=57.84%, nice=0.00%, steal=0.26%
[1453965336] SERVICE ALERT: credr_db_prod_master_52.76.120.118;CPU Usage;WARNING;SOFT;2;CPU STATISTICS WARNING : user=62.84% system=0.55%, iowait=7.65%, idle=28.96%, nice=0.00%, steal=0.00%
[1453965366] SERVICE ALERT: credr_prod_52.74.247.15;CPU Usage;OK;SOFT;2;CPU STATISTICS OK : user=13.52% system=0.51%, iowait=0.00%, idle=85.97%, nice=0.00%, steal=0.00%
[1453965396] SERVICE ALERT: credr_db_prod_master_52.76.120.118;CPU Usage;WARNING;HARD;3;CPU STATISTICS WARNING : user=59.28% system=0.00%, iowait=0.00%, idle=40.72%, nice=0.00%, steal=0.00%
[1453965396] SERVICE NOTIFICATION: nagiosadmin;credr_db_prod_master_52.76.120.118;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=59.28% system=0.00%, iowait=0.00%, idle=40.72%, nice=0.00%, steal=0.00%
[1453965396] SERVICE NOTIFICATION: sajal;credr_db_prod_master_52.76.120.118;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=59.28% system=0.00%, iowait=0.00%, idle=40.72%, nice=0.00%, steal=0.00%
[1453965396] SERVICE NOTIFICATION: nitin;credr_db_prod_master_52.76.120.118;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=59.28% system=0.00%, iowait=0.00%, idle=40.72%, nice=0.00%, steal=0.00%
[1453965396] SERVICE NOTIFICATION: suneet;credr_db_prod_master_52.76.120.118;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=59.28% system=0.00%, iowait=0.00%, idle=40.72%, nice=0.00%, steal=0.00%
[1453965396] SERVICE NOTIFICATION: sudheer;credr_db_prod_master_52.76.120.118;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=59.28% system=0.00%, iowait=0.00%, idle=40.72%, nice=0.00%, steal=0.00%
[1453965396] SERVICE NOTIFICATION: nagiosdb;credr_db_prod_master_52.76.120.118;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=59.28% system=0.00%, iowait=0.00%, idle=40.72%, nice=0.00%, steal=0.00%
[1453965396] wproc: NOTIFY job 153165 from worker Core Worker 14667 is a non-check helper but exited with return code 2
[1453965396] wproc:   host=credr_db_prod_master_52.76.120.118; service=CPU Usage; contact=nagiosdb
[1453965396] wproc:   early_timeout=0; exited_ok=1; wait_status=512; error_code=0;
[1453965396] wproc:   stderr line 01: Send options without primary recipient specified.
[1453965396] wproc:   stderr line 02: Usage: mail -eiIUdEFntBDNHRV~ -T FILE -u USER -h hops -r address -s SUBJECT -a FILE -q FILE -f FILE -A ACCOUNT -b USERS -c USERS -S OPTION users
[1453965573] Auto-save of retention data completed successfully.
[1453965576] SERVICE ALERT: credr_db_prod_master_52.76.120.118;CPU Usage;OK;HARD;3;CPU STATISTICS OK : user=1.58% system=0.53%, iowait=0.00%, idle=96.84%, nice=0.00%, steal=1.05%
[1453965576] SERVICE NOTIFICATION: nagiosadmin;credr_db_prod_master_52.76.120.118;CPU Usage;OK;notify-service-by-email;CPU STATISTICS OK : user=1.58% system=0.53%, iowait=0.00%, idle=96.84%, nice=0.00%, steal=1.05%
[1453965576] SERVICE NOTIFICATION: sajal;credr_db_prod_master_52.76.120.118;CPU Usage;OK;notify-service-by-email;CPU STATISTICS OK : user=1.58% system=0.53%, iowait=0.00%, idle=96.84%, nice=0.00%, steal=1.05%
[1453965576] SERVICE NOTIFICATION: nitin;credr_db_prod_master_52.76.120.118;CPU Usage;OK;notify-service-by-email;CPU STATISTICS OK : user=1.58% system=0.53%, iowait=0.00%, idle=96.84%, nice=0.00%, steal=1.05%
[1453965576] SERVICE NOTIFICATION: suneet;credr_db_prod_master_52.76.120.118;CPU Usage;OK;notify-service-by-email;CPU STATISTICS OK : user=1.58% system=0.53%, iowait=0.00%, idle=96.84%, nice=0.00%, steal=1.05%
[1453965576] SERVICE NOTIFICATION: sudheer;credr_db_prod_master_52.76.120.118;CPU Usage;OK;notify-service-by-email;CPU STATISTICS OK : user=1.58% system=0.53%, iowait=0.00%, idle=96.84%, nice=0.00%, steal=1.05%
[1453965576] SERVICE NOTIFICATION: nagiosdb;credr_db_prod_master_52.76.120.118;CPU Usage;OK;notify-service-by-email;CPU STATISTICS OK : user=1.58% system=0.53%, iowait=0.00%, idle=96.84%, nice=0.00%, steal=1.05%
[1453965576] wproc: NOTIFY job 153189 from worker Core Worker 14666 is a non-check helper but exited with return code 2
[1453965576] wproc:   host=credr_db_prod_master_52.76.120.118; service=CPU Usage; contact=nagiosdb
[1453965576] wproc:   early_timeout=0; exited_ok=1; wait_status=512; error_code=0;
[1453965576] wproc:   stderr line 01: Send options without primary recipient specified.
[1453965576] wproc:   stderr line 02: Usage: mail -eiIUdEFntBDNHRV~ -T FILE -u USER -h hops -r address -s SUBJECT -a FILE -q FILE -f FILE -A ACCOUNT -b USERS -c USERS -S OPTION users
[1453965756] SERVICE ALERT: credr_db_prod_master_52.76.120.118;CPU Usage;WARNING;SOFT;1;CPU STATISTICS WARNING : user=54.77% system=0.50%, iowait=0.00%, idle=44.72%, nice=0.00%, steal=0.00%
[1453965816] SERVICE ALERT: credr_db_prod_master_52.76.120.118;CPU Usage;WARNING;SOFT;2;CPU STATISTICS WARNING : user=52.76% system=1.51%, iowait=0.00%, idle=45.73%, nice=0.00%, steal=0.00%
[1453965876] SERVICE ALERT: credr_db_prod_master_52.76.120.118;CPU Usage;WARNING;HARD;3;CPU STATISTICS WARNING : user=54.79% system=0.53%, iowait=0.00%, idle=44.68%, nice=0.00%, steal=0.00%
[1453965876] SERVICE NOTIFICATION: nagiosadmin;credr_db_prod_master_52.76.120.118;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=54.79% system=0.53%, iowait=0.00%, idle=44.68%, nice=0.00%, steal=0.00%
[1453965876] SERVICE NOTIFICATION: sajal;credr_db_prod_master_52.76.120.118;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=54.79% system=0.53%, iowait=0.00%, idle=44.68%, nice=0.00%, steal=0.00%
[1453965876] SERVICE NOTIFICATION: nitin;credr_db_prod_master_52.76.120.118;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=54.79% system=0.53%, iowait=0.00%, idle=44.68%, nice=0.00%, steal=0.00%
[1453965876] SERVICE NOTIFICATION: suneet;credr_db_prod_master_52.76.120.118;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=54.79% system=0.53%, iowait=0.00%, idle=44.68%, nice=0.00%, steal=0.00%
[1453965876] SERVICE NOTIFICATION: sudheer;credr_db_prod_master_52.76.120.118;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=54.79% system=0.53%, iowait=0.00%, idle=44.68%, nice=0.00%, steal=0.00%
[1453965876] SERVICE NOTIFICATION: nagiosdb;credr_db_prod_master_52.76.120.118;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=54.79% system=0.53%, iowait=0.00%, idle=44.68%, nice=0.00%, steal=0.00%
[1453965876] wproc: NOTIFY job 153230 from worker Core Worker 14668 is a non-check helper but exited with return code 2
[1453965876] wproc:   host=credr_db_prod_master_52.76.120.118; service=CPU Usage; contact=nagiosdb
[1453965876] wproc:   early_timeout=0; exited_ok=1; wait_status=512; error_code=0;
[1453965876] wproc:   stderr line 01: Send options without primary recipient specified.
[1453965876] wproc:   stderr line 02: Usage: mail -eiIUdEFntBDNHRV~ -T FILE -u USER -h hops -r address -s SUBJECT -a FILE -q FILE -f FILE -A ACCOUNT -b USERS -c USERS -S OPTION users
[1453965876] wproc:   stderr line 03: /usr/bin/printf: write error: Broken pipe
[1453966012] EXTERNAL COMMAND: SCHEDULE_FORCED_SVC_CHECK;credr_db_prod_master_52.76.120.118;CPU Usage;1453966010
[1453966014] SERVICE ALERT: credr_db_prod_master_52.76.120.118;CPU Usage;CRITICAL;HARD;3;CPU STATISTICS CRITICAL : user=74.49% system=2.55%, iowait=0.00%, idle=22.45%, nice=0.00%, steal=0.51%
[1453966014] SERVICE FLAPPING ALERT: credr_db_prod_master_52.76.120.118;CPU Usage;STARTED; Service appears to have started flapping (24.2% change >= 20.0% threshold)
[1453966073] EXTERNAL COMMAND: SCHEDULE_FORCED_SVC_CHECK;credr_db_prod_master_52.76.120.118;CPU Usage;1453966071
[1453966075] SERVICE ALERT: credr_db_prod_master_52.76.120.118;CPU Usage;OK;HARD;3;CPU STATISTICS OK : user=0.50% system=0.50%, iowait=0.00%, idle=99.00%, nice=0.00%, steal=0.00%
[1453966078] EXTERNAL COMMAND: SCHEDULE_FORCED_SVC_CHECK;credr_db_prod_master_52.76.120.118;CPU Usage;1453966076
[1453966260] SERVICE ALERT: credr_db_prod_master_52.76.120.118;CPU Usage;CRITICAL;SOFT;1;CPU STATISTICS CRITICAL : user=98.01% system=1.99%, iowait=0.00%, idle=0.00%, nice=0.00%, steal=0.00%
[1453966320] SERVICE ALERT: credr_db_prod_master_52.76.120.118;CPU Usage;WARNING;SOFT;2;CPU STATISTICS WARNING : user=63.49% system=0.00%, iowait=0.00%, idle=36.51%, nice=0.00%, steal=0.00%
[1453966380] SERVICE ALERT: credr_db_prod_master_52.76.120.118;CPU Usage;WARNING;HARD;3;CPU STATISTICS WARNING : user=56.19% system=2.06%, iowait=11.34%, idle=30.41%, nice=0.00%, steal=0.00%
[1453966560] SERVICE ALERT: credr_db_prod_master_52.76.120.118;CPU Usage;OK;HARD;3;CPU STATISTICS OK : user=14.21% system=0.51%, iowait=0.00%, idle=84.77%, nice=0.00%, steal=0.51%
[1453966894] SERVICE ALERT: credr_prod_52.74.247.15;Total Processes;WARNING;SOFT;1;PROCS WARNING: 205 processes
[1453966954] SERVICE ALERT: credr_prod_52.74.247.15;Total Processes;OK;SOFT;2;PROCS OK: 198 processes
[1453967134] SERVICE ALERT: credr_prod_52.74.247.15;Total Processes;WARNING;SOFT;1;PROCS WARNING: 206 processes
[1453967194] SERVICE ALERT: credr_prod_52.74.247.15;Total Processes;WARNING;SOFT;2;PROCS WARNING: 207 processes
[1453967254] SERVICE ALERT: credr_prod_52.74.247.15;Total Processes;WARNING;HARD;3;PROCS WARNING: 205 processes
[1453967254] SERVICE NOTIFICATION: nagiosadmin;credr_prod_52.74.247.15;Total Processes;WARNING;notify-service-by-email;PROCS WARNING: 205 processes
[1453967254] SERVICE NOTIFICATION: sajal;credr_prod_52.74.247.15;Total Processes;WARNING;notify-service-by-email;PROCS WARNING: 205 processes
[1453968154] SERVICE ALERT: credr_prod_52.74.247.15;Total Processes;OK;HARD;3;PROCS OK: 200 processes
[1453968154] SERVICE NOTIFICATION: nagiosadmin;credr_prod_52.74.247.15;Total Processes;OK;notify-service-by-email;PROCS OK: 200 processes
[1453968154] SERVICE NOTIFICATION: sajal;credr_prod_52.74.247.15;Total Processes;OK;notify-service-by-email;PROCS OK: 200 processes
[1453969173] Auto-save of retention data completed successfully.
[1453969980] SERVICE FLAPPING ALERT: credr_db_prod_master_52.76.120.118;CPU Usage;STOPPED; Service appears to have stopped flapping (3.8% change < 5.0% threshold)
[1453972774] Auto-save of retention data completed successfully.
[1453975534] SERVICE ALERT: credr_prod_52.74.247.15;Website Check;UNKNOWN;SOFT;1;ERROR: CANNOT RETRIEVE URL: 502 Bad Gateway
[1453975594] SERVICE ALERT: credr_prod_52.74.247.15;Website Check;UNKNOWN;SOFT;2;ERROR: CANNOT RETRIEVE URL: 502 Bad Gateway
[1453975654] SERVICE ALERT: credr_prod_52.74.247.15;Website Check;OK;SOFT;3;CONTENT OK: WEBSITE IS RUNNING FINE
[1453976166] SERVICE ALERT: credr_prod_52.74.247.15;CPU Usage;WARNING;SOFT;1;CPU STATISTICS WARNING : user=40.80% system=0.50%, iowait=0.00%, idle=58.71%, nice=0.00%, steal=0.00%
[1453976226] SERVICE ALERT: credr_prod_52.74.247.15;CPU Usage;OK;SOFT;2;CPU STATISTICS OK : user=21.13% system=0.26%, iowait=0.00%, idle=78.61%, nice=0.00%, steal=0.00%
[1453976373] Auto-save of retention data completed successfully.
[1453979974] Auto-save of retention data completed successfully.
[1453983573] Auto-save of retention data completed successfully.
[1453987173] Auto-save of retention data completed successfully.
[1453990773] Auto-save of retention data completed successfully.
[1453991914] SERVICE ALERT: credr_prod_52.74.247.15;Website Check;UNKNOWN;SOFT;1;ERROR: CANNOT RETRIEVE URL: 500 Server closed connection without sending any data back
[1453991973] SERVICE ALERT: credr_prod_52.74.247.15;Website Check;UNKNOWN;SOFT;2;ERROR: CANNOT RETRIEVE URL: 500 Server closed connection without sending any data back
[1453992034] wproc: Core Worker 14666: job 156527 (pid=32323) timed out. Killing it
[1453992034] wproc: CHECK job 156527 from worker Core Worker 14666 timed out after 60.01s
[1453992034] wproc:   host=credr_prod_52.74.247.15; service=Website Check;
[1453992034] wproc:   early_timeout=1; exited_ok=0; wait_status=0; error_code=62;
[1453992034] Warning: Check of service 'Website Check' on host 'credr_prod_52.74.247.15' timed out after 60.009s!
[1453992034] SERVICE ALERT: credr_prod_52.74.247.15;Website Check;CRITICAL;HARD;3;(Service check timed out after 60.01 seconds)
[1453992034] SERVICE NOTIFICATION: nagiosadmin;credr_prod_52.74.247.15;Website Check;CRITICAL;notify-service-by-email;(Service check timed out after 60.01 seconds)
[1453992034] SERVICE NOTIFICATION: sajal;credr_prod_52.74.247.15;Website Check;CRITICAL;notify-service-by-email;(Service check timed out after 60.01 seconds)
[1453992034] wproc: Core Worker 14666: job 156527 (pid=32323): Dormant child reaped
[1453992154] SERVICE ALERT: credr_prod_52.74.247.15;Website Check;OK;HARD;3;CONTENT OK: WEBSITE IS RUNNING FINE
[1453992154] SERVICE NOTIFICATION: nagiosadmin;credr_prod_52.74.247.15;Website Check;OK;notify-service-by-email;CONTENT OK: WEBSITE IS RUNNING FINE
[1453992154] SERVICE NOTIFICATION: sajal;credr_prod_52.74.247.15;Website Check;OK;notify-service-by-email;CONTENT OK: WEBSITE IS RUNNING FINE
[1453994373] Auto-save of retention data completed successfully.
[1453997973] Auto-save of retention data completed successfully.
[1454001573] Auto-save of retention data completed successfully.
[1454005173] Auto-save of retention data completed successfully.
